contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026082105011747,HHL,52,48,20,334.8,6696.0,2026-08-21,197409939,8076,Sundhara Securities Limited,Trishakti Securities Public Limited,2026-08-21T14:59:59.935597,Himalayan Hydropower Limited
2026082105011746,HHL,52,16,40,329.0,13160.0,2026-08-21,197409936,8076,Sundhara Securities Limited,Primo Securities (PVT) Ltd.,2026-08-21T14:59:59.935287,Himalayan Hydropower Limited
2026082105011745,SANVI,51,95,200,573.0,114600.0,2026-08-21,197409935,9263,Oxford Securities Pvt. Ltd.,Magnet Securities and Investment Company Private Limited,2026-08-21T14:59:59.92692,Sanvi Energy Limited
2026082103016799,KAHL,52,84,215,527.0,113305.0,2026-08-21,197409971,9346,Sundhara Securities Limited,MILKY WAY SHARE BROKER COMPANY LTD ,2026-08-21T14:59:59.920386,Kalanga Hydro Limited
2026082101018407,MEPDL,25,11,10,774.0,7740.0,2026-08-21,197409965,9352,Sweta Securities Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,2026-08-21T14:59:59.895182,Mount Everest Power Development Limited
2026082103016798,SIPD,46,38,10,648.0,6480.0,2026-08-21,197409960,9329,Kalika Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-08-21T14:59:59.875885,Shikhar power Development Limited
2026082104012852,RIDI,72,60,10,359.9,3599.0,2026-08-21,197409959,610,Hatemalo Financial Services Private Limited,Nagarik Stock Dealer ,2026-08-21T14:59:59.860766,Ridi Power Company Limited
2026082105011744,BNHC,25,59,10,278.6,2786.0,2026-08-21,197409955,8032,Sweta Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-08-21T14:59:59.851268,Buddha Bhumi Nepal Hydropower Company Limited
2026082103016797,KAHL,99,84,20,527.0,10540.0,2026-08-21,197409951,9346,Prabhu Stock Market Limited,MILKY WAY SHARE BROKER COMPANY LTD ,2026-08-21T14:59:59.662102,Kalanga Hydro Limited
2026082103016796,CFCL,41,25,10,599.0,5990.0,2026-08-21,197409947,245,Linch Stock Market Ltd.,Sweta Securities Private Limited,2026-08-21T14:59:59.649859,Central Finance Co. Ltd.
2026082103016795,KAHL,74,84,387,527.0,203949.0,2026-08-21,197409942,9346,KALASH STOCK MARKET PVT. LTD.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-08-21T14:59:59.618051,Kalanga Hydro Limited
2026082103016794,KAHL,74,58,10,527.0,5270.0,2026-08-21,197409932,9346,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,2026-08-21T14:59:59.618025,Kalanga Hydro Limited
2026082103016793,KAHL,74,68,10,527.0,5270.0,2026-08-21,197409927,9346,KALASH STOCK MARKET PVT. LTD.,Elite Stock House Limited,2026-08-21T14:59:59.617997,Kalanga Hydro Limited
2026082103016792,KAHL,74,17,10,526.0,5260.0,2026-08-21,197409924,9346,KALASH STOCK MARKET PVT. LTD.,ABC Securities Private Limited,2026-08-21T14:59:59.617965,Kalanga Hydro Limited
2026082103016791,KAHL,74,58,10,526.0,5260.0,2026-08-21,197409920,9346,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,2026-08-21T14:59:59.617884,Kalanga Hydro Limited
2026082103016790,KAHL,74,49,10,526.0,5260.0,2026-08-21,197409916,9346,KALASH STOCK MARKET PVT. LTD.,Online Securities Pvt. Ltd.,2026-08-21T14:59:59.617844,Kalanga Hydro Limited
2026082103016789,KAHL,74,22,20,525.0,10500.0,2026-08-21,197409911,9346,KALASH STOCK MARKET PVT. LTD.,Siprabi Securities Pvt. Ltd.,2026-08-21T14:59:59.617816,Kalanga Hydro Limited
2026082103016788,KAHL,74,87,43,525.0,22575.0,2026-08-21,197409905,9346,KALASH STOCK MARKET PVT. LTD.,S.P.S.A. Securities Limited,2026-08-21T14:59:59.617764,Kalanga Hydro Limited
2026082103016787,CORBL,49,6,38,972.0,36936.0,2026-08-21,197409899,450,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-08-21T14:59:59.5942,Corporate Development Bank Limited
