contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026070905008236,BBC,36,26,25,4101.00,102525.00,2026-07-09,,,,,,
2026070905008235,BBC,11,26,10,4103.00,41030.00,2026-07-09,,,,,,
2026070905008234,BBC,45,26,10,4107.00,41070.00,2026-07-09,,,,,,
2026070905008233,BBC,49,26,10,4110.00,41100.00,2026-07-09,,,,,,
2026070905008232,BBC,58,26,10,4110.00,41100.00,2026-07-09,,,,,,
2026070905008231,BBC,39,26,10,4111.00,41110.00,2026-07-09,,,,,,
2026070905008230,BBC,64,26,20,4112.00,82240.00,2026-07-09,,,,,,
2026070905008634,BEDC,41,34,10,317.90,3179.00,2026-07-09,,,,,,
2026070905008633,BEDC,41,1,10,317.00,3170.00,2026-07-09,,,,,,
2026070905008632,BEDC,41,58,10,317.00,3170.00,2026-07-09,,,,,,
2026070905008271,BEDC,41,25,10,316.80,3168.00,2026-07-09,,,,,,
2026070905008386,BEDC,42,25,290,316.80,91872.00,2026-07-09,,,,,,
2026070905008451,BEDC,41,58,10,317.00,3170.00,2026-07-09,,,,,,
2026070905008441,BEDC,4,8,150,316.00,47400.00,2026-07-09,,,,,,
2026070905008440,BEDC,42,8,140,316.80,44352.00,2026-07-09,,,,,,
2026070905008269,BGWT,57,29,17,560.00,9520.00,2026-07-09,,,,,,
2026070905008646,BHDC,47,45,10,429.00,4290.00,2026-07-09,,,,,,
2026070905008645,BHDC,47,29,10,428.90,4289.00,2026-07-09,,,,,,
2026070905008198,BHDC,57,29,239,427.40,102148.60,2026-07-09,,,,,,
2026070905008197,BHDC,7,29,39,427.50,16672.50,2026-07-09,,,,,,
2026070905008557,BHL,19,22,24,205.00,4920.00,2026-07-09,,,,,,
2026070905008556,BHL,25,22,300,205.00,61500.00,2026-07-09,,,,,,
