contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026081204009756,NGPL,14,71,55,415.0,22825.0,2026-08-12,196707219,2743,Nepal Stock House (PVT) Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.001245,Ngadi Group Power Ltd.
2026081204009755,NGPL,18,71,100,415.1,41510.0,2026-08-12,196707218,2743,Sagarmatha Securities Private Limited,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.001165,Ngadi Group Power Ltd.
2026081204009754,NGPL,25,71,50,415.3,20765.0,2026-08-12,196707216,2743,Sweta Securities Private Limited,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.001087,Ngadi Group Power Ltd.
2026081204009753,NGPL,22,71,50,415.3,20765.0,2026-08-12,196707214,2743,Siprabi Securities Pvt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.00101,Ngadi Group Power Ltd.
2026081204009752,NGPL,60,71,20,415.5,8310.0,2026-08-12,196707212,2743,Nagarik Stock Dealer ,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.000935,Ngadi Group Power Ltd.
2026081204009751,NGPL,94,71,100,416.0,41600.0,2026-08-12,196707210,2743,K.B.L. Securities Limited ,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.000857,Ngadi Group Power Ltd.
2026081204009750,NGPL,47,71,100,416.0,41600.0,2026-08-12,196707208,2743,Neev Securities Pvt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.000779,Ngadi Group Power Ltd.
2026081204009749,NGPL,56,71,25,416.0,10400.0,2026-08-12,196707206,2743,Sri Hari Securities Pvt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2026-08-12T15:00:00.000638,Ngadi Group Power Ltd.
2026081201005599,SBL,59,14,10,410.9,4109.0,2026-08-12,196707204,145,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-08-12T14:59:59.972498,Siddhartha Bank Limited
2026081201005598,NIBLGF,14,36,1500,8.89,13335.0,2026-08-12,196707201,9138,Nepal Stock House (PVT) Ltd.,Secured Securities Ltd.,2026-08-12T14:59:59.894338,NIBL Growth Fund
2026081204009748,KKHC,29,34,500,324.0,162000.0,2026-08-12,196707200,2751,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,2026-08-12T14:59:59.870509,Khanikhola Hydropower Co. Ltd.
2026081201005597,SRLI,17,49,10,370.0,3700.0,2026-08-12,196707198,5982,ABC Securities Private Limited,Online Securities Pvt. Ltd.,2026-08-12T14:59:59.85327,Sanima Reliance Life Insurance Limited
2026081203018948,CFCL,71,41,10,650.0,6500.0,2026-08-12,196707196,245,SHUBHAKAMANA SECURITIES PVT. LTD,Linch Stock Market Ltd.,2026-08-12T14:59:59.835378,Central Finance Co. Ltd.
2026081204009747,NHPC,70,95,10,271.9,2719.0,2026-08-12,196707194,152,Infinity Securities Limited,Magnet Securities and Investment Company Private Limited,2026-08-12T14:59:59.831988,National Hydro Power Company Limited
2026081203018947,SMFBS,74,44,10,1499.0,14990.0,2026-08-12,196707192,2829,KALASH STOCK MARKET PVT. LTD.,Dynamic Money Managers Securities Pvt. Ltd.,2026-08-12T14:59:59.798902,Swabhimaan Laghubitta Bittiya Sanstha Limited
2026081203018946,SAIL,71,32,110,1093.0,120230.0,2026-08-12,196707190,9301,SHUBHAKAMANA SECURITIES PVT. LTD,Premier Securities Company Ltd.,2026-08-12T14:59:59.785663,Shreenagar Agritech Industries Limited
2026081203018945,GRDBL,87,38,20,1050.0,21000.0,2026-08-12,196707188,2744,S.P.S.A. Securities Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-08-12T14:59:59.72978,Green Development Bank Ltd.
2026081205009672,ULHC,58,48,10,371.2,3712.0,2026-08-12,196707187,9208,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-08-12T14:59:59.72925,Upper Lohore Khola Hydropower Company Limited
2026081203018944,CFCL,58,41,10,650.0,6500.0,2026-08-12,196707184,245,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,2026-08-12T14:59:59.70526,Central Finance Co. Ltd.
2026081203018943,SOHL,82,49,20,690.0,13800.0,2026-08-12,196707289,9311,N.M.B. SECURITIES LIMITED,Online Securities Pvt. Ltd.,2026-08-12T14:59:59.628224,Solu Hydropower Limited
2026081205009671,PHCL,45,38,10,298.5,2985.0,2026-08-12,196707288,8133,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-08-12T14:59:59.592585,Peoples Hydropower Company Limited
