contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026062505008826,AHL,22,7,10,470.00,4700.00,2026-06-25,,,,,,
2026062505008742,AHL,19,56,900,463.00,416700.00,2026-06-25,,,,,,
2026062505008846,BBC,41,32,20,4200.00,84000.00,2026-06-25,,,,,,
2026062505008808,BBC,88,32,10,4205.00,42050.00,2026-06-25,,,,,,
2026062505008807,BBC,19,32,10,4206.00,42060.00,2026-06-25,,,,,,
2026062505008806,BBC,1,32,10,4207.00,42070.00,2026-06-25,,,,,,
2026062505008805,BBC,7,32,10,4208.00,42080.00,2026-06-25,,,,,,
2026062505008804,BBC,4,32,10,4210.00,42100.00,2026-06-25,,,,,,
2026062505008803,BBC,42,32,10,4220.00,42200.00,2026-06-25,,,,,,
2026062505008866,BEDC,58,34,10,346.90,3469.00,2026-06-25,,,,,,
2026062505008528,BEDC,29,45,220,345.90,76098.00,2026-06-25,,,,,,
2026062505008651,BEDC,6,35,150,346.00,51900.00,2026-06-25,,,,,,
2026062505008586,BEDC,29,54,160,345.90,55344.00,2026-06-25,,,,,,
2026062505008758,BEDC,51,18,500,345.20,172600.00,2026-06-25,,,,,,
2026062505008755,BEDC,51,35,150,345.20,51780.00,2026-06-25,,,,,,
2026062505008688,BEDC,51,35,190,345.20,65588.00,2026-06-25,,,,,,
2026062505008687,BEDC,29,35,500,345.90,172950.00,2026-06-25,,,,,,
2026062505008980,BGWT,7,47,31,580.00,17980.00,2026-06-25,,,,,,
2026062505008979,BGWT,3,47,119,580.00,69020.00,2026-06-25,,,,,,
2026062505008978,BGWT,53,47,200,583.00,116600.00,2026-06-25,,,,,,
2026062505008977,BGWT,7,47,50,583.00,29150.00,2026-06-25,,,,,,
2026062505008976,BGWT,35,47,100,585.00,58500.00,2026-06-25,,,,,,
2026062505008520,BGWT,7,47,50,593.00,29650.00,2026-06-25,,,,,,
2026062505008519,BGWT,37,47,100,593.50,59350.00,2026-06-25,,,,,,
2026062505008518,BGWT,6,47,200,594.00,118800.00,2026-06-25,,,,,,
2026062505008517,BGWT,25,47,20,594.10,11882.00,2026-06-25,,,,,,
2026062505008602,BGWT,57,47,50,595.00,29750.00,2026-06-25,,,,,,
2026062505008975,BGWT,7,47,20,585.00,11700.00,2026-06-25,,,,,,
2026062505008974,BGWT,4,47,100,585.00,58500.00,2026-06-25,,,,,,
2026062505008973,BGWT,7,47,20,586.00,11720.00,2026-06-25,,,,,,
2026062505008972,BGWT,7,47,50,587.00,29350.00,2026-06-25,,,,,,
2026062505008971,BGWT,8,47,50,600.00,30000.00,2026-06-25,,,,,,
2026062505008970,BGWT,83,47,10,612.80,6128.00,2026-06-25,,,,,,
2026062505008907,BHDC,41,57,10,448.00,4480.00,2026-06-25,,,,,,
2026062505008656,BHDC,42,57,10,448.00,4480.00,2026-06-25,,,,,,
2026062505008927,BHL,26,6,10,211.00,2110.00,2026-06-25,,,,,,
2026062505008833,BHL,45,45,94,210.00,19740.00,2026-06-25,,,,,,
2026062505008832,BHL,58,45,10,210.00,2100.00,2026-06-25,,,,,,
2026062505008831,BHL,41,45,186,210.00,39060.00,2026-06-25,,,,,,
2026062505008830,BHL,17,45,10,210.10,2101.00,2026-06-25,,,,,,
2026062505008802,BHL,38,6,400,211.00,84400.00,2026-06-25,,,,,,
2026062505008549,BHL,38,45,572,210.00,120120.00,2026-06-25,,,,,,
2026062505008548,BHL,77,45,200,210.10,42020.00,2026-06-25,,,,,,
2026062505008547,BHL,37,45,200,210.10,42020.00,2026-06-25,,,,,,
2026062505008546,BHL,13,45,18,210.80,3794.40,2026-06-25,,,,,,
2026062505008545,BHL,42,45,10,210.90,2109.00,2026-06-25,,,,,,
2026062505008704,BHL,38,10,500,210.00,105000.00,2026-06-25,,,,,,
2026062505008703,BHL,42,10,500,210.50,105250.00,2026-06-25,,,,,,
2026062505008677,BHL,21,6,420,211.00,88620.00,2026-06-25,,,,,,
2026062505008676,BHL,35,6,43,211.00,9073.00,2026-06-25,,,,,,
2026062505008675,BHL,35,29,957,211.00,201927.00,2026-06-25,,,,,,
2026062505008622,BHL,44,37,50,210.90,10545.00,2026-06-25,,,,,,
2026062505008801,BHL,38,37,50,210.90,10545.00,2026-06-25,,,,,,
2026062505008795,BHL,41,41,14,210.00,2940.00,2026-06-25,,,,,,
2026062505008794,BHL,5,41,556,210.00,116760.00,2026-06-25,,,,,,
2026062505008734,BHL,5,33,444,210.00,93240.00,2026-06-25,,,,,,
2026062505008733,BHL,38,33,556,210.00,116760.00,2026-06-25,,,,,,
2026062505008730,BHL,26,41,10,210.50,2105.00,2026-06-25,,,,,,
2026062505008756,BHPL,48,64,19,508.50,9661.50,2026-06-25,,,,,,
2026062505008727,BHPL,38,64,100,509.00,50900.00,2026-06-25,,,,,,
2026062505008726,BHPL,34,64,40,509.20,20368.00,2026-06-25,,,,,,
2026062505008725,BHPL,4,64,55,509.30,28011.50,2026-06-25,,,,,,
2026062505008724,BHPL,39,64,190,509.40,96786.00,2026-06-25,,,,,,
2026062505008668,BHPL,48,64,81,510.00,41310.00,2026-06-25,,,,,,
2026062505008667,BHPL,4,64,10,510.60,5106.00,2026-06-25,,,,,,
2026062505008626,BHPL,48,58,119,510.00,60690.00,2026-06-25,,,,,,
2026062505008625,BHPL,57,58,49,510.00,24990.00,2026-06-25,,,,,,
2026062505008624,BHPL,16,58,1000,510.50,510500.00,2026-06-25,,,,,,
2026062505008623,BHPL,45,58,136,510.60,69441.60,2026-06-25,,,,,,
2026062505008784,BNHC,57,58,10,318.10,3181.00,2026-06-25,,,,,,
2026062505008627,BNHC,32,4,10,318.00,3180.00,2026-06-25,,,,,,
2026062505008930,CHDC,82,26,10,2180.00,21800.00,2026-06-25,,,,,,
2026062505008897,CHDC,8,86,116,2170.20,251743.20,2026-06-25,,,,,,
2026062505008896,CHDC,32,86,84,2170.20,182296.80,2026-06-25,,,,,,
2026062505008828,CHDC,13,6,100,2189.90,218990.00,2026-06-25,,,,,,
2026062505008827,CHDC,13,47,200,2189.90,437980.00,2026-06-25,,,,,,
2026062505008560,CHDC,32,34,54,2170.20,117190.80,2026-06-25,,,,,,
2026062505008823,CIT,6,33,10,1704.00,17040.00,2026-06-25,,,,,,
2026062505008689,CIT,50,25,30,1703.10,51093.00,2026-06-25,,,,,,
2026062505008686,CIT,17,33,100,1704.00,170400.00,2026-06-25,,,,,,
2026062505008652,CIT,57,1,10,1703.90,17039.00,2026-06-25,,,,,,
2026062505008527,CIT,22,48,10,1703.70,17037.00,2026-06-25,,,,,,
2026062505008992,CKHL,57,21,10,625.00,6250.00,2026-06-25,,,,,,
2026062505008967,CLI,42,34,10,448.20,4482.00,2026-06-25,,,,,,
2026062505008889,CLI,42,57,200,448.20,89640.00,2026-06-25,,,,,,
2026062505008841,CLI,42,6,26,448.20,11653.20,2026-06-25,,,,,,
2026062505008800,CLI,42,45,300,448.20,134460.00,2026-06-25,,,,,,
2026062505008701,CLI,42,42,200,448.20,89640.00,2026-06-25,,,,,,
2026062505008585,CLI,42,58,55,448.20,24651.00,2026-06-25,,,,,,
2026062505008579,CLI,58,41,10,448.40,4484.00,2026-06-25,,,,,,
2026062505008537,CLI,42,77,13,448.20,5826.60,2026-06-25,,,,,,
2026062505008965,DOLTI,86,34,10,350.90,3509.00,2026-06-25,,,,,,
2026062505008911,DOLTI,16,34,10,350.90,3509.00,2026-06-25,,,,,,
2026062505008909,DOLTI,85,34,10,350.90,3509.00,2026-06-25,,,,,,
2026062505008884,DOLTI,1,82,100,347.00,34700.00,2026-06-25,,,,,,
2026062505008750,DOLTI,1,38,20,347.00,6940.00,2026-06-25,,,,,,
2026062505008707,DOLTI,1,49,52,347.00,18044.00,2026-06-25,,,,,,
2026062505008706,DOLTI,4,49,348,348.00,121104.00,2026-06-25,,,,,,
2026062505008660,DOLTI,4,54,30,348.00,10440.00,2026-06-25,,,,,,
2026062505008984,DORDI,56,18,100,251.00,25100.00,2026-06-25,,,,,,
2026062505008921,DORDI,57,18,242,251.00,60742.00,2026-06-25,,,,,,
2026062505008829,DORDI,47,18,50,251.00,12550.00,2026-06-25,,,,,,
2026062505008816,DORDI,40,18,10,251.00,2510.00,2026-06-25,,,,,,
2026062505008576,DORDI,52,18,100,251.00,25100.00,2026-06-25,,,,,,
2026062505008570,DORDI,42,18,12,251.00,3012.00,2026-06-25,,,,,,
2026062505008990,EHPL,50,34,10,383.00,3830.00,2026-06-25,,,,,,
2026062505008912,EHPL,49,34,40,383.00,15320.00,2026-06-25,,,,,,
2026062505008882,ENL,74,1,11,847.00,9317.00,2026-06-25,,,,,,
2026062505008698,ENL,74,17,11,824.00,9064.00,2026-06-25,,,,,,
2026062505008666,ENL,1,57,15,813.10,12196.50,2026-06-25,,,,,,
2026062505008665,ENL,14,57,30,815.00,24450.00,2026-06-25,,,,,,
2026062505008664,ENL,33,57,25,815.00,20375.00,2026-06-25,,,,,,
2026062505008566,ENL,48,57,10,820.00,8200.00,2026-06-25,,,,,,
2026062505008565,ENL,45,57,100,820.10,82010.00,2026-06-25,,,,,,
2026062505008728,GCIL,25,14,1,354.00,354.00,2026-06-25,,,,,,
2026062505008932,GCIL,33,42,12,365.00,4380.00,2026-06-25,,,,,,
2026062505008931,GCIL,33,34,12,365.00,4380.00,2026-06-25,,,,,,
2026062505008933,GCIL,33,14,23,365.00,8395.00,2026-06-25,,,,,,
2026062505008843,GIBF1,21,38,100,10.65,1065.00,2026-06-25,,,,,,
2026062505008842,GIBF1,21,34,135,10.65,1437.75,2026-06-25,,,,,,
2026062505008901,GVL,69,74,61,478.00,29158.00,2026-06-25,,,,,,
2026062505008817,GVL,21,21,26,477.10,12404.60,2026-06-25,,,,,,
2026062505008732,GVL,21,13,11,477.10,5248.10,2026-06-25,,,,,,
2026062505008952,HATHY,43,48,50,739.80,36990.00,2026-06-25,,,,,,
2026062505008886,HATHY,43,77,10,739.00,7390.00,2026-06-25,,,,,,
2026062505008869,HATHY,43,58,50,738.00,36900.00,2026-06-25,,,,,,
2026062505008838,HATHY,43,32,10,737.90,7379.00,2026-06-25,,,,,,
2026062505008810,HATHY,43,32,10,737.80,7378.00,2026-06-25,,,,,,
2026062505008741,HATHY,41,42,50,731.00,36550.00,2026-06-25,,,,,,
2026062505008740,HATHY,51,42,60,732.00,43920.00,2026-06-25,,,,,,
2026062505008563,HATHY,43,6,20,732.00,14640.00,2026-06-25,,,,,,
2026062505008529,HATHY,42,42,100,732.90,73290.00,2026-06-25,,,,,,
2026062505008988,HDL,42,69,100,1147.00,114700.00,2026-06-25,,,,,,
2026062505008702,HDL,41,47,100,1146.60,114660.00,2026-06-25,,,,,,
2026062505008782,HDL,1,45,10,1148.00,11480.00,2026-06-25,,,,,,
2026062505008752,HDL,46,45,20,1148.00,22960.00,2026-06-25,,,,,,
2026062505008871,HDL,1,69,10,1147.00,11470.00,2026-06-25,,,,,,
2026062505008996,HHL,17,58,10,340.00,3400.00,2026-06-25,,,,,,
2026062505008641,HHL,39,86,37,339.10,12546.70,2026-06-25,,,,,,
2026062505008597,HHL,39,64,163,339.10,55273.30,2026-06-25,,,,,,
2026062505008596,HHL,58,64,60,340.00,20400.00,2026-06-25,,,,,,
2026062505008551,HHL,58,64,578,341.40,197329.20,2026-06-25,,,,,,
2026062505008550,HHL,58,7,52,341.30,17747.60,2026-06-25,,,,,,
2026062505008929,HHL,33,58,82,340.00,27880.00,2026-06-25,,,,,,
2026062505008928,HHL,33,33,300,340.00,102000.00,2026-06-25,,,,,,
2026062505008645,HHL,33,86,118,338.30,39919.40,2026-06-25,,,,,,
2026062505008644,HHL,58,86,230,338.60,77878.00,2026-06-25,,,,,,
2026062505008643,HHL,57,86,50,339.00,16950.00,2026-06-25,,,,,,
2026062505008642,HHL,45,86,50,339.00,16950.00,2026-06-25,,,,,,
2026062505008981,HIDCL,58,56,10,256.50,2565.00,2026-06-25,,,,,,
2026062505008789,HIDCL,16,45,50,256.00,12800.00,2026-06-25,,,,,,
2026062505008743,HIDCL,32,51,10,256.90,2569.00,2026-06-25,,,,,,
2026062505008731,HIDCL,47,58,25,256.00,6400.00,2026-06-25,,,,,,
2026062505008991,HRL,4,57,75,588.00,44100.00,2026-06-25,,,,,,
2026062505008983,HRL,36,22,90,587.80,52902.00,2026-06-25,,,,,,
2026062505008902,HRL,45,57,75,588.00,44100.00,2026-06-25,,,,,,
